@relation pola_csv

@attribute H numeric
@attribute G numeric
@attribute Epoch {K161D,K15CO,K1642}
@attribute M numeric
@attribute Peri. numeric
@attribute Node numeric
@attribute Incl. numeric
@attribute e numeric
@attribute n numeric
@attribute a numeric
@attribute #Obs numeric
@attribute #Opp numeric
@attribute rms numeric
@attribute Per {M-v,M-h,M-c,M-N}
@attribute ts {3Eh,8.0,38h,08h}
@attribute Hazard {T,F}

@data
-0.97528,0.15,K161D,1.260574,0.9904,-0.618019,-0.833533,0.539714,0.864824,-1.138734,0.871786,3.525154,0.5,M-v,3Eh,T
-1.865194,0.15,K161D,1.075843,0.10753,0.697041,2.262085,0.68847,1.914772,-1.880528,8.107807,3.887079,0.65,M-v,3Eh,T
-1.700396,0.15,K161D,1.187318,0.032113,0.886496,-0.354755,0.212642,0.658458,-0.779289,0.89084,2.801303,0.43,M-h,3Eh,T
-0.777521,0.15,K161D,-0.535566,0.820482,1.180169,-0.210744,0.542947,0.649582,-0.75963,0.443055,0.991676,0.49,M-h,3Eh,T
-1.865194,0.15,K161D,-1.46335,-1.276659,-1.490996,0.431645,0.326394,0.650247,-0.761118,5.964153,1.715527,0.38,M-h,3Eh,T
-1.766315,0.15,K161D,0.504985,-0.396254,0.450872,0.317365,0.416802,0.532496,-0.450405,1.505354,3.525154,0.43,M-h,3Eh,T
-0.744562,0.15,K161D,0.707633,0.600302,0.70676,0.356403,0.379805,1.043199,-1.350664,0.428764,0.62975,0.49,M-v,3Eh,T
-1.107119,0.15,K161D,-1.04397,1.353371,0.775532,-0.435696,0.415632,0.478808,-0.267459,0.800331,2.077452,0.46,M-h,3Eh,T
-1.865194,0.15,K161D,0.338458,-1.507533,1.248702,0.845709,0.436465,0.441925,-0.120639,1.233825,1.715527,0.44,M-h,3Eh,T
-1.898154,0.15,K161D,-1.363026,0.712499,0.613377,1.058891,0.344285,0.907314,-1.195486,4.220649,3.525154,0.43,M-v,3Eh,T
