Des'n	H	G	Epoch	M	Peri.	Node	Incl.	e	n	a	#Obs	#Opp	rms	Per	ts
d	c	c	d	c	c	c	c	c	c	c	c	c	c	d	d
K05U06	W 21.8	0.15	K161D	161.2674	180.53074	334.74261	0.91554	0.7403369	0.33884466	2.0376783	48	1	0.44	M-v	3Eh
K05U64	T 20.1	0.15	K161D	19.36821	327.35707	161.63305	10.50409	0.5219349	0.4009076	1.8215448	56	3	0.51	M-v	3Eh
K05UF9	J 17.6	0.15	K161D	229.85436	95.47138	80.73318	35.46525	0.8318388	0.16114215	3.3444903	190	3	0.38	M-v	3Eh
K05V05	O 19.8	0.15	K161D	225.66528	241.92007	101.05781	14.24337	0.5610544	0.34590425	2.0098583	81	2	0.39	M-v	3Eh
K05V07	R 21.3	0.15	K161D	64.08626	101.04624	254.89276	25.24817	0.2871984	0.87466511	1.0828663	37	5	0.34	M-v	3Eh
K05W00	D 21.9	0.15	K161D	331.22549	160.6699	227.75892	26.13544	0.5625429	0.2816454	2.3049824	130	2	0.45	M-v	3Eh
K05W01	A 21.6	0.15	K161D	185.63776	241.66331	247.27418	10.93264	0.5849779	0.34651831	2.0074832	118	1	0.63	M-v	3Eh
K05W01	C 20.7	0.15	K161D	359.50833	256.71929	265.03288	19.98498	0.486612	0.5946731	1.4005024	201	4	0.56	M-v	3Eh
K05W55	Y 20.7	0.15	K161D	188.70091	286.15058	248.2175	7.27198	0.7206186	0.25102788	2.488789	123	3	0.39	M-v	3Eh
K05X77	T 21.2	0.15	K161D	247.06375	149.93508	84.82613	17.21995	0.2662923	1.27789516	0.8410192	110	3	0.38	M-v	3Eh
K05Y03	U 19.8	0.15	K161D	180.96458	341.75469	2.0403	3.14809	0.845566	0.24148856	2.5539066	80	3	0.51	M-v	3Eh
K05Y08	S 20.0	0.15	K161D	226.75866	298.32231	56.35626	17.36756	0.5291724	0.44628701	1.6958726	30	1	0.47	M-v	3Eh
K05Y96	Q 20.4	0.15	K161D	73.98113	340.11213	282.69892	22.22445	0.3335574	1.5377733	0.7433748	70	4	0.58	M-v	3Eh
K06A03	R 20.6	0.15	K161D	225.33949	40.25079	12.83109	4.74983	0.6399336	0.25513854	2.4619846	123	2	0.45	M-v	3Eh
K06A04	M 21.8	0.15	K161D	16.9075	139.76979	123.21074	4.13426	0.6491302	1.01246998	0.9822332	168	3	0.38	M-v	3Eh
K06B27	B 20.0	0.15	K161D	343.16146	144.65192	132.20296	27.15556	0.2456658	0.61986901	1.3622896	84	3	0.48	M-v	3Eh
K06B39	X 21.4	0.15	K161D	266.52169	79.44171	140.1782	14.3347	0.6359392	0.37616944	1.9005547	120	1	0.52	M-v	3Eh
K06B55	E 21.9	0.15	K161D	153.08157	125.92956	125.70591	2.42459	0.4244271	0.7538763	1.1956461	85	4	0.43	M-v	3Eh
K06C00	F 20.3	0.15	K161D	347.03937	267.65689	112.84598	4.66238	0.6820098	0.28458138	2.2891016	193	3	0.34	M-v	3Eh
K06C00	U 21.7	0.15	K161D	169.27373	253.08156	148.86744	3.79304	0.4537188	0.53140566	1.5095654	57	1	0.57	M-v	3Eh
K06C10	M 21.7	0.15	K161D	46.7315	92.16637	143.16503	18.31135	0.701108	0.31608084	2.1343744	66	1	0.5	M-v	3Eh
K06C10	T 21.2	0.15	K161D	6.63327	30.51401	111.23307	12.91389	0.6638652	0.20102993	2.885995	53	2	0.45	M-v	3Eh
K06C10	Y 20.5	0.15	K161D	204.62052	167.33002	32.54138	6.78145	0.4855097	0.35936935	1.959335	67	2	0.38	M-v	3Eh
K06D62	U 18.0	0.15	K161D	300.03979	71.59397	322.35216	16.46998	0.7381345	0.46927878	1.6400186	199	4	0.4	M-v	3Eh
K06G00	B 20.3	0.15	K161D	249.37252	242.82793	183.83129	10.062	0.1793892	1.04941266	0.959044	170	3	0.45	M-v	3Eh
K06G01	C 21.0	0.15	K161D	169.24608	232.64759	196.34329	5.98193	0.8164322	0.4425093	1.7055107	32	1	0.55	M-v	3Eh
K06H02	C 21.8	0.15	K161D	105.5459	66.63643	198.2188	3.74851	0.4868449	0.44093277	1.7095736	66	3	0.67	M-v	3Eh
K06H02	D 20.9	0.15	K161D	157.42053	95.7227	30.36094	4.01871	0.6027165	0.3408727	2.0295881	67	3	0.39	M-v	3Eh
K06H05	V 19.6	0.15	K161D	98.49533	317.53978	35.97247	32.00089	0.3163618	1.27514	0.8422302	102	2	0.43	M-v	3Eh
K06H30	Q 21.2	0.15	K161D	97.7269	180.0285	85.49437	12.01555	0.6065297	0.23560456	2.5962525	211	1	0.41	M-v	3Eh
K06H30	T 20.2	0.15	K161D	105.78001	224.06758	73.60197	1.64051	0.6175385	0.23994147	2.5648729	81	2	0.49	M-v	3Eh
K06H57	W 20.4	0.15	K161D	9.31554	34.0516	250.94278	7.11653	0.5185288	0.3134026	2.1465169	319	2	0.45	M-v	3Eh
